COMPANY;CATEGORY;DESCRIPTION
TeliaSonera Group;Telecommunications services;"Error: Page id ""tella company"" does not match any pages. Try another id!"
Royal Caribbean;Hotels restaurants & leisure;"Royal Caribbean International (RCI), formerly Royal Caribbean Cruise Line (RCCL), is a cruise line founded in 1968 in Norway and organized as a wholly owned subsidiary of Royal Caribbean Group since 1997. 
Based in Miami, Florida, it is the largest cruise line by revenue and second largest by passenger counts. In 2018, Royal Caribbean International controlled 19.2% of the worldwide cruise market by passengers and 14.0% by revenue. As of 2008, Royal Caribbean had 22% of the market share in cruise line operation
As of August 2024, the line operates 28 ships; four additional ships are on order and two ships are planned but do not have a launch date.


== History ==

Royal Caribbean Cruise Line was founded in 1968 by three Norwegian shipping companies: Anders Wilhelmsen & Company, I.M. Skaugen & Company, and Gotaas Larsen. The newly created line put its first ship, Song of Norway, into service two years later. A year later, the line added Nordic Prince to the fleet and in 1972 it added Sun Viking. In 1978, Song of Norway became Royal Caribbean's first passenger ship to be lengthened. This was accomplished via the insertion of an 85-foot (26 m) section to the vessel's severed center. Following the success of this work, Nordic Prince was also stretched in 1980."
Synovus Finl;Banking;No Wikipedia page found
Sprint PCS;Telecommunications services;"Error: Page id ""spirit corporation"" does not match any pages. Try another id!"
ITT Industries;Conglomerates;"ITT Inc., formerly ITT Corporation, is an American worldwide manufacturing company based in Stamford, Connecticut. The company produces specialty components for the aerospace, transportation, energy and industrial markets. ITT's three businesses include Industrial Process, Motion Technologies, and Connect and Control Technologies. 
ITT has over 10,000 employees in more than 35 countries and serves customers in more than 100 countries. The company's long-standing brands include Goulds Pumps, Cannon connectors, KONI shock absorbers and Enidine energy absorption components.
The company was founded in 1920 as International Telephone & Telegraph. During the 1960s and 1970s, under the leadership of CEO Harold Geneen, the company rose to prominence as the archetypal conglomerate, deriving its growth from hundreds of acquisitions in diversified industries.
ITT divested its telecommunications assets in 1986. In 1995, the company sold off its hospitality portfolio, including Sheraton Hotels and Resorts. In 1996, the current company was founded as a spinoff of ITT as ITT Industries, Inc."
SK Corp;Oil & gas operations;"Error: Page id ""sky group"" does not match any pages. Try another id!"
Everest Re Group;Insurance;"Everest Group, Ltd. is a Bermuda-based provider of reinsurance and insurance, operating for 50 years through subsidiaries in the U.S., Europe, Singapore, Canada, Bermuda and other territories. Everest offers property, casualty, and specialty insurance and reinsurance through its various operating affiliates located in key markets around the world.


== History ==
In 1973, Everest Re Group was founded as Prudential Reinsurance, a subsidiary of Prudential Financial.  
In the 1990s, Prudential Financial considered selling or spinning off Prudential Reinsurance.  On October 6, 1995, Prudential Reinsurance completed an IPO.  The chairman and CEO at that time was Joseph V. Taranto.  Prudential Reinsurance was renamed Everest Re in 1996, after Mount Everest.  In 2017, Everest Re became a S&P 500 component."
Scania;Capital goods;"Error: Page id ""scan is"" does not match any pages. Try another id!"
Suncorp-Metway;Diversified financials;"Suncorp Group Limited, known simply as Suncorp, is an Australian finance, insurance and banking corporation based in Brisbane, Queensland, Australia. It was formed on 1 December 1996 by the merger of Suncorp, Metway Bank and the Queensland Industry Development Corporation (QIDC), and is one of Australia's mid-sized banks (by combined lending and deposits) and its largest general insurance group. 


== History ==


=== State Government Insurance Office ===
Queensland established the State Accident Insurance Office in 1916, to provide mandatory injury compensation insurance to workers in the state's business sector. New legislation soon after created a larger insurance body, the State Government Insurance Office (SGIO) which took over the State Accident Insurance Office. General insurance, third party and life products were added. SGIO later expanded into building society operations, superannuation, and finance.
In 1960, new legislation established the SGIO as a separate corporation, and the group became subject to state regulatory oversight. In 1971, the SGIO took another step toward full-fledged corporate status, forming its own board of directors. At that time, the operations involving injury compensation for workers were placed under a separate board. By 1976, as SGIO's insurance operations took on a more commercial orientation, and the company closed down its building society operations."
TXU;Utilities;"Error: Page id ""tyu"" does not match any pages. Try another id!"
HeidelbergCement;Construction;"Heidelberg Materials is a German multinational building materials company headquartered in Heidelberg, Germany. Formerly known as HeidelbergCement AG, the company has rebranded as Heidelberg Materials in September 2022. It is a DAX corporation and stands as one of the world's largest building materials companies. On 1 July 2016, HeidelbergCement AG completed the acquisition of a 45% shareholding in Italcementi. This acquisition made HeidelbergCement the number one producer of construction aggregates, the second-largest in cement and the third-largest in ready-mixed concrete worldwide. In the 2020 Forbes Global 2000, HeidelbergCement was ranked as the 678th -largest public company in the world.
The enlarged group has activities in over 50 countries with 51,000 employees working at almost 3,000 production sites. Heidelberg Materials operates around 130 cement plants with an annual cement capacity of around 170 million tonnes, around 1,300 ready-mixed concrete production sites, and just under 600 aggregates quarries.


== History ==

The company was founded on 5 June 1874 by Johann Philipp Schifferdecker, at Heidelberg, Baden-Württemberg, Germany. It was making 80,000 tonnes per annum of Portland cement in 1896."
Banca Naz del Lavoro;Banking;No Wikipedia page found
Bombardier;Aerospace & defense;"Error: Page id ""bombardeer"" does not match any pages. Try another id!"
mmO2;Telecommunications services;"Error: Page id ""on (brand)"" does not match any pages. Try another id!"
Bank Mandiri;Banking;"PT Bank Mandiri (Persero) Tbk or Bank Mandiri, headquartered in Jakarta, is the largest bank in Indonesia in terms of assets, loans and deposits. Total assets as of 2022, were 1.992 Trillion rupiah (around US$133 Billion). As of 2022, Bank Mandiri is the largest bank in Indonesia by total assets.
As of December 2022, the bank had 2,364 branches spread across three different time zones in Indonesia and 7 branches abroad, about 13,027 automatic teller machines (ATMs), and 11 subsidiaries, such as: Mandiri Sekuritas, Mandiri Tunas Finance, AXA Mandiri Financial Services, Bank Mandiri Taspen, and Mandiri AXA General Insurance.


== History ==


=== Pre-merger ===

Bank Mandiri is the result of the merger made by Indonesian government from four older government-owned banks that failed in 1998. Those four banks were Bank Bumi Daya, Bank Dagang Negara, Bank Ekspor Impor Indonesia, and Bank Pembangunan Indonesia. During the amalgamation and reorganisation, the government reduced the number of branches by 194 and the number of personnel from 26,600 to 17,620.
Bank Bumi Daya and Bank Ekspor Impor Indonesia was previously merged in 1965 by the Indonesian government under Guided Democracy into Bank Negara Indonesia (BNI) umbrella, 1968: The Indonesian government then reorganized the banks in 1968 as the New Order government took place.

Bank Bumi Daya (BBD) started in 1959, when the government nationalized Nationale Handelsbank's operations in Indonesia as a part of boycott on Dutch companies amid both nation's dispute over Western New Guinea, and from them the government created Bank Umum Negara (""State General Bank""). In 1964, during Konfrontasi, the government nationalized Chartered Bank's operations in Indonesia and merged them into Bank Umum Negara; the British overseas bank had first entered Indonesia in 1863 when it opened an agency in Batavia (now Jakarta)."
Celesio;Health care equipment & services;"McKesson Europe AG (formerly Celesio AG, previously Gehe AG), with its headquarters in Stuttgart, Germany, is a leading international wholesale and retail company and provider of logistics and services in the pharmaceutical and healthcare sectors. The company had around 37,000 employees at the end of the 2019 financial year (31 March 2019) and is represented in 13 countries in Europe. In the 2019 financial year the company achieved a turnover of EUR 21.18 billion. The majority shareholder of the company is the US-based McKesson Corporation, which holds a share of 77.01%. The remaining 22.99% of shares are available on the open market. Kevin Kettler, a US citizen, has been Chairman of McKesson Europe since 1 November 2018.


== Overview ==
The head office is situated at Stockholmer Platz in the new Europaviertel of Stuttgart, next to Stadtbibliothek and Milaneo shopping centre. The company's core business consists of pharmaceutical wholesale and pharmacies. In the pharmaceutical wholesaling sector, McKesson Europe has a market presence in 14 countries. It has a range of services for pharmacists on matters of health, medicines and wellness."
Sun Microsystems;Technology hardware & equipment;"Sun Microsystems, Inc., often known as Sun for short, was an American technology company that existed from 1982 to 2010 which developed and sold computers, computer components, software, and information technology services. Sun contributed significantly to the evolution of several key computing technologies, among them Unix, RISC processors, thin client computing, and virtualized computing. At its height, the Sun headquarters were in Santa Clara, California (part of Silicon Valley), on the former west campus of the Agnews Developmental Center.
Sun products included computer servers and workstations built on its own RISC-based SPARC processor architecture, as well as on x86-based AMD Opteron and Intel Xeon processors. Sun also developed its own storage systems and a suite of software products, including the Unix-based SunOS and later Solaris operating systems, developer tools, Web infrastructure software, and identity management applications. Technologies that Sun created include the Java programming language, the Java platform and Network File System (NFS).
In general, Sun was a proponent of open systems, particularly Unix. It was also a major contributor to open-source software, as evidenced by its $1 billion purchase, in 2008, of MySQL, an open-source relational database management system. Other notable Sun acquisitions include Cray Business Systems Division, Storagetek, and Innotek GmbH, creators of VirtualBox. On April 20, 2009, it was announced that Oracle would acquire Sun for US$7.4 billion."
Cox Communications;Media;"Cox Communications, Inc. (also known as Cox Cable and formerly Cox Broadcasting Corporation, Dimension Cable Services and Times-Mirror Cable), is an American digital cable television provider, telecommunications and home automation services. It is the third-largest cable television provider in the United States, serving approximately 6.5 million customers, including 2.9 million digital cable subscribers, 3.5 million Internet subscribers, and almost 3.2 million digital telephone subscribers, making it the seventh-largest telephone carrier in the country. Cox is headquartered at 6205 Peachtree Dunwoody Rd in Sandy Springs, Georgia, U.S., in the Atlanta metropolitan area. It is a privately owned subsidiary of Cox Enterprises.


== History ==

Cox Enterprises expanded into the cable television industry in 1962 by purchasing a number of cable systems in Lewistown, Lock Haven and Tyrone (all in Pennsylvania), followed by systems in California, Oregon and Washington. The subsidiary company, Cox Broadcasting Corporation (unrelated to the Cox Media Group, which focuses on radio stations and television stations), was not officially formed until 1964, when it was established as a public company traded on the New York Stock Exchange. The company was renamed to Cox Communications in 1982. It was taken private by Cox Enterprises in 1985.
In 1993, Cox began offering telecommunication services to businesses; it was the first multiple system cable operator to do so."
Rohm;Semiconductors;"The Night of the Long Knives (German: Nacht der langen Messer, pronounced [ˈnaxt deːɐ̯ ˈlaŋən ˈmɛsɐ] ), also called the Röhm purge or Operation Hummingbird (German: Aktion Kolibri), was a purge that took place in Nazi Germany from 30 June to 2 July 1934. Chancellor Adolf Hitler, urged on by Hermann Göring and Heinrich Himmler, ordered a series of political extrajudicial executions intended to consolidate his power and alleviate the concerns of the German military about the role of Ernst Röhm and the Sturmabteilung (SA), the Nazis' paramilitary organization, known colloquially as ""Brownshirts"". Nazi propaganda presented the murders as a preventive measure against an alleged imminent coup by the SA under Röhm – the so-called Röhm Putsch.
The primary instruments of Hitler's action were the Schutzstaffel (SS) paramilitary force under Himmler and its Security Service (SD), and Gestapo (secret police) under Reinhard Heydrich, which between them carried out most of the killings. Göring's personal police battalion also took part. Many of those killed in the purge were leaders of the SA, the best-known being Röhm himself, the SA's chief of staff and one of Hitler's longtime supporters and allies. Leading members of the Strasserist faction of the Nazi Party, including its leader Gregor Strasser, were also killed, as were establishment conservatives and anti-Nazis, such as former Chancellor Kurt von Schleicher and Bavarian politician Gustav Ritter von Kahr, who had helped suppress Hitler's Munich Beer Hall Putsch in 1923. The murders of SA leaders were also intended to improve the image of the Hitler government with a German public that was increasingly critical of thuggish SA tactics.
Hitler saw the independence of the SA and the penchant of its members for street violence as a direct threat to his newly gained political power. He also wanted to appease leaders of the Reichswehr, the German military, who feared and despised the SA as a potential rival, in particular because of Röhm's ambition to merge the army and the SA under his own leadership."
Sodexho Alliance;Hotels restaurants & leisure;"Sodexo (formerly Sodexho Alliance) is a French food services and facilities management company headquartered in the Paris suburb of Issy-les-Moulineaux. It has 522,000 employees as of 2023, operates in 55 countries and serves 100 million customers on a daily basis. It is Europe’s second largest company of its type by both number of employees and revenue after Compass Group.
For fiscal year 2023 (ending August 2023), revenues reached €28.1 billion with an underlying operating profit of 699 million euro. Market capitalization was 11.5 billion euro as at 26 October 2023.
Sodexo serves many sectors, including private corporations, government agencies, schools from preschool through university (including seminaries and trade schools), hospitals and clinics, assisted-living facilities, military bases, and prisons.  As of 2016, subsidiary Sodexo Justice Services operated support services in 122 prisons in eight countries, including 42 in the Netherlands, 34 in France, and others in Belgium, Italy, Spain, and Chile, as well as directly running 7 prisons in the UK.


== History ==
The company was launched in 1966 by Pierre Bellon (Chairman) in Marseille, France, initially serving company restaurants, schools and hospitals under the name Société d'Exploitation Hotelière (English: Hotel Services Corporation). Today Sodexo is on the Fortune Global 500 list and the second largest employer among all French multi-national corporations.
Throughout the 1970s, the company expanded in France and internationally; first in Belgium, then Africa, and finally the Middle East. After an initial public offering on the Paris Bourse in 1983, the firm continued its expansion into North America, South America, Japan, South Africa and Russia."
Cincinnati Financial;Insurance;"Cincinnati Financial Corporation offers property and casualty insurance, its main business, through The Cincinnati Insurance Company, The Cincinnati Indemnity Company and The Cincinnati Casualty Company. The company has 1.01% of the domestic property and casualty insurance premiums, which ranks it as the 20th largest insurance company by market share in the U.S.
The Cincinnati Insurance Company was founded in 1950 by four agents, including brothers John Jack Schiff and Robert Cleveland Schiff.
The Cincinnati Life Insurance Company markets life and disability income insurance and annuities. CFC Investment Company supports the insurance subsidiaries and their independent agent representatives through commercial leasing and financing activities. CinFin Capital Management Company provides asset management services to institutions, corporations and individuals.
In 2001, SFAS 133 adjustments were included with realized capital gains or losses rather than investment income. The impact on nine-month 2001 earnings was an after-tax gain of $1.3 million. Prior period 2001 results were restated on this basis.
In 2008, Cincinnati began writing excess and surplus lines insurance under a new subsidiary called the Cincinnati Specialty Underwriters Insurance Company.
MSP Underwriting, a global specialty underwriter, was acquired in February 2019, and was rebranded Cincinnati Global Underwriting Ltd."
Lucent Technologies;Technology hardware & equipment;"Lucent Technologies, Inc. was an American multinational telecommunications equipment company headquartered in Murray Hill, New Jersey. It was established on September 30, 1996, through the divestiture of the former AT&T Technologies business unit of AT&T Corporation, which included Western Electric and Bell Labs.
Lucent was acquired by Alcatel SA on December 1, 2006, forming Alcatel-Lucent.


== Name ==
Lucent means ""light-bearing"" in Latin. The name was applied for in 1996 at the time of the split from AT&T.
The name was widely criticised, as the logo was to be, both internally and externally. Corporate communications and business cards included the strapline 'Bell Labs Innovations' in a bid to retain the prestige of the internationally famous research lab, within a new business under an as-yet unknown name.
This same linguistic root also gives Lucifer, ""the light bearer"" (from lux, 'light', and ferre, 'to bear'), who is also a character in Dante's epic poem Inferno. Shortly after the Lucent renaming in 1996, Lucent's Plan 9 project released a development of their work as the Inferno OS in 1997. This extended the 'Lucifer' and Dante references as a series of punning names for the components of Inferno - Dis, Limbo, Charon and Styx (9P Protocol)."
Samsung SDI;Business services & supplies;"Samsung SDI Co., Ltd. (Korean: 삼성SDI 주식회사) is a battery and electronic materials manufacturer headquartered in Yongin, Gyeonggi-do, South Korea. Samsung SDI operates its business with Energy Solutions and Electronic Materials segment. The Energy Solution segment manufactures rechargeable batteries used for IT device, automotive, and Energy Storage System (ESS) applications, and the Electronic Materials segment produces materials for semiconductors and displays.
In the first half of 2022, Samsung SDI is ranked sixth in the world with a market share of 5 percent according to SNE research. In 2022, Samsung SDI started to build pilot line for solid-state batteries in the South Korean city of Suwon and began its first production from the very line in 2023.
In 2012, Samsung SDI and several other major companies were fined by the European Commission for price fixing of TV cathode-ray tubes.


== Corporate governance ==
As of 30 June 2023.


== Plants ==
As of October 2023, the company operates two battery cell plants in South Korea and four overseas battery cell plants in the United States, China, Hungary and Malaysia.


== Cooperations ==


=== Hyundai Motor ===
The company will supply square batteries for Hyundai Motor electric vehicles from 2026 to 2032."
Mattel;Household & personal products;"Andre A. ""Andy"" Martel (December 16, 1946 – December 22, 2016) was an American businessman and Republican politician.
Born in Manchester, New Hampshire, Martel graduated from Bishop Bradley High School in 1964 and New Hampshire College (now Southern New Hampshire University) in 1971."
Murata Manufacturing;Business services & supplies;"Murata Manufacturing Co., Ltd. (株式会社村田製作所, Kabushiki-gaisha Murata Seisakusho) is a Japanese manufacturer of electronic components, based in Nagaokakyo, Kyoto. It produces ceramic passive electronic components, primarily capacitors, and has a majority marketshare worldwide in ceramic filters, high-frequency parts, and sensors. As of March 31, 2013 Murata Manufacturing has 24 subsidiaries in Japan and 52 overseas in the United States, Canada, Mexico, Brazil, Germany, France, Italy, the United Kingdom, Switzerland, the Netherlands, Spain, Hungary, Finland, China, Taiwan, South Korea, Singapore, Malaysia, the Philippines, Thailand, Hong Kong, Vietnam and India.


== History ==
Akira Murata founded Murata Manufacturing as a personal venture in October, 1944. In December 1950, the company was reorganized into Murata Manufacturing Co., Ltd., with paid-in capital of ¥1 million.
On April 13, 2012, Murata announced a deal to acquire RF Monolithics for $1.78 per share. On August 23, 2014, Murata announced the acquisition of Peregrine Semiconductor Corporation. On July 28, 2016, a memorandum of understanding was signed between Murata and Sony announcing the intent to sell a portion of the latter's battery business (Sony Energy Devices Corporation).
In October 2017, Murata announced sponsorship of an exhibit in the Epcot theme park at Florida's Walt Disney World."
Delphi;Consumer durables;"Delhi, officially the National Capital Territory (NCT) of Delhi, is a city and a union territory of India containing New Delhi, the capital of India. Straddling the Yamuna river, but spread chiefly to the west, or beyond its right bank, Delhi shares borders with the state of Uttar Pradesh in the east and with the state of Haryana in the remaining directions. Delhi became a union territory on 1 November 1956 and the NCT in 1995. The NCT covers an area of 1,484 square kilometres (573 sq mi). According to the 2011 census, Delhi's city proper population was over 11 million, while the NCT's population was about 16.8 million.
The topography of the medieval fort Purana Qila on the banks of the river Yamuna matches the literary description of the citadel Indraprastha in the Sanskrit epic Mahabharata; however, excavations in the area have revealed no signs of an ancient built environment. From the early 13th century until the mid-19th century, Delhi was the capital of two major empires, the Delhi Sultanate and the Mughal Empire, which covered large parts of South Asia. All three UNESCO World Heritage Sites in the city, the Qutub Minar, Humayun's Tomb, and the Red Fort, belong to this period. Delhi was the early centre of Sufism and Qawwali music. The names of Nizamuddin Auliya and Amir Khusrau are prominently associated with it."
Swiss Life Holding;Insurance;"The Swiss Life Group is the largest life insurance company of Switzerland and one of Europe’s leading comprehensive life and pensions and financial services providers, with approximately CHF 255.7 bn of assets under management. Founded in 1857 in Zurich as the Schweizerische Lebensversicherungs und Rentenanstalt cooperative, the company entered the Swiss stock market in 1997 and adopted its current name in 2002. In 2024 the group declared an adjusted profit from operations of CHF 1.78 billion, a 20% increase compared to the previous year. Net profit increased by 13% to CHF 1.26 billion. Swiss Life is one of the twenty companies listed under the Swiss Market Index, as SLHN.


== History ==


=== Foundation and growth ===
Conrad Widmer established the Schweizerische Rentenanstalt (""Swiss annuity institution"") in 1857 as the first life insurance company in Switzerland, backed by guarantees from Schweizerische Kreditanstalt. Prominent Zurich politician Alfred Escher was closely involved in the development of the cooperative, whose goal was to provide Swiss families with insurance against the uncertainties of life: the company's board included representatives of most Swiss cantons. In 1866, Widmer obtained a license in Prussia, and a year later, the Rentenanstalt had business operations in Hamburg and Bremen. Beginning in 1894, it was one of the first insurance institutions to offer occupational insurance. Between 1866 and 1987, Rentenanstalt expanded to Germany, France, the Netherlands, Belgium, the United Kingdom, Spain, Luxembourg, and Italy. In 1988 it took over La Suisse insurance company of Lausanne."
Air France Group;Transportation;"Error: Page id ""r france"" does not match any pages. Try another id!"
Huntington Bancshs;Banking;No Wikipedia page found
Supervalu;Food markets;"SuperValu, Inc., was an American wholesaler and retailer of grocery products. The company, formerly headquartered in the Minneapolis suburb of Eden Prairie, Minnesota, had been in business since 1926. It is a wholly owned subsidiary of United Natural Foods (UNFI).
On July 26, 2018, SuperValu announced that it had agreed to be purchased by Providence, RI-based United Natural Foods Inc., the largest distributor to Whole Foods Market and other natural foods stores. UNFI would pay $1.3 billion in cash and assume another $1.6 billion in SuperValu debt and liabilities. UNFI said it expects the deal to result in roughly $175 million in savings over three years and that it would divest itself of SuperValu's grocery stores.
As of June 8, 2022, the SuperValu brand seems to be discontinued for everything besides some small-scale grocery stores. The distribution facility in Hopkins, Minnesota,  has been rebranded to UNFI.


== History ==
In 1870, Hugh G. Harrison provided the money for B.S. Bull and Company, a dry goods wholesaler serving Minneapolis. Though B.S. Bull and Company was short lived, its founders went on to create a similar company. In 1926, SuperValu's direct ancestor, Winston and Newell Company, was founded from the merger of Winston, Harper and Fisher and the Newell Company, two companies founded by B. S. Bull's backers."
Conseco;Diversified financials;"Gainbridge Fieldhouse is an indoor arena located in downtown Indianapolis, Indiana, United States. It opened in November 1999 to replace Market Square Arena. The arena is the home of the Indiana Pacers of the National Basketball Association (NBA) and the Indiana Fever of the Women's National Basketball Association (WNBA). It also hosts college basketball games (including the annual Big Ten Conference tournaments), indoor concerts, and ice hockey.
Originally named Conseco Fieldhouse, after the financial firm Conseco, the arena was renamed Bankers Life Fieldhouse, before Gainbridge became the naming rights sponsor in 2021.


== Design ==

The arena was built to evoke an Indiana high school and college field house. As such, unlike most other North American sports arenas, it was designed primarily for basketball. The arena can accommodate an NHL-sized rink, but the ice hockey seating capacity is reduced to 12,300 in an asymmetrical configuration.


== Naming rights ==
The arena was originally named Conseco Fieldhouse, as the naming rights to the venue were sold to Conseco, a financial services organization based in nearby Carmel. In May 2010, the company renamed itself CNO Financial Group, but the fieldhouse retained the Conseco name."
Swire Pacific;Diversified financials;Swirl were an Australia indie rock band, forming in 1991 by Ben Aylward on guitar and vocals, David Lord on drums and Nicola Schultz on bass guitar and vocals. Schultz left in 1997 and was replaced by Richard Anderson on bass guitar and keyboards and Keira Hodgkison on guitar and vocals.
H&R Block;Business services & supplies;"Error: Page id ""h b block"" does not match any pages. Try another id!"
ASFA-Autoroutes;Transportation;"The autoroute (French: [otoʁut] , highway or motorway) system in France consists largely of toll roads (76% of the total). It is a network of 11,882 km (7,383 mi) of motorways as of 2014. On road signs, autoroute destinations are shown in blue, while destinations reached through a combination of autoroutes are shown with an added autoroute logo. Toll autoroutes are signalled with the word péage (toll or toll plaza).


== Length ==


== Numbering scheme ==
Unlike other motorway  systems, there is no systematic numbering system, but there is a clustering of Autoroute numbers based on region.
A1, A3, A4, A5, A6, A10, A13, A14, A15, A16 radiate clockwise from Paris, with A2, A11, and A12 branching from A1, A10, and A13, respectively. A7 begins in Lyon, where A6 ends. A8 and A9 begin from the A7.
The 20s are found in northern and northwestern France. The 30s are found in eastern and northeastern France."
Guidant;Health care equipment & services;"Guidant Corporation, part of Boston Scientific and Abbott Labs, designs and manufactures artificial cardiac pacemakers, implantable cardioverter-defibrillators, stents, and other cardiovascular medical products.  Their company headquarters is located in Indianapolis, Indiana.  Their main competitors are Medtronic, St. Jude Medical, and Johnson and Johnson.


== History ==
In February 1972, Cardiac Pacemakers, Inc. (CPI) of St. Paul, Minnesota was formed. CPI was a highly successful start up venture, increasing sales from zero in 1972 to over $47 million and highly profitable when it was acquired by Eli Lilly in 1978 for $127 million. In 1977 Eli Lilly & Co. buys IVAC of San Diego (a manufacturer of medical pumps and other hospital equipment) for $60.5 million."
Ambac Financial Group;Insurance;"The Ambac Financial Group, Inc., generally known as Ambac (originally the American Municipal Bond Assurance Corporation), is an American holding company. Its subsidiaries provide financial guarantee products such as bond insurance  to clients in both the public and private sectors globally. Ambac Assurance is a guarantor of public finance and structured finance obligations. Its common stock and common stock purchase warrants are listed on the NYSE under the symbols AMBC and AMBCW respectively.  Ambac is regulated by the insurance commission of Wisconsin.  It has its headquarters in Lower Manhattan, New York City.
Ambac Financial Group's subsidiaries include Ambac Assurance Corporation and Everspan Financial Insurance Company.


== History and Credit ratings ==
Ambac, originally American Municipal Bond Assurance Corporation, was founded in 1971 in Milwaukee, Wisconsin as a subsidiary of MGIC Investment Corp. to insure the principal and interest of municipal bonds against default. In 1985, Citibank (the principal subsidiary of Citicorp) acquired majority control of Ambac Inc., parent company of AMBAC. Other investors, including Xerox Corp., Ambac management, and Stephens Inc., an investment banking firm, held the remaining equity."
Asahi Glass;Construction;"AGC Inc. (AGC株式会社, AGC kabushiki gaisha), formerly Asahi Glass Co., Ltd.'(旭硝子株式会社), is a Japanese global glass manufacturing company, headquartered in Tokyo. It is the largest glass company in the world and one of the core Mitsubishi companies.
The company is listed on the Tokyo Stock Exchange and is a constituent of the TOPIX and Nikkei 225 stock indices.
Asahi Glass was named one of Thomson Reuters Top 100 Global Innovators in 2013.
On July 1, 2018, it was renamed to AGC Inc.


== Overview ==
Asahi Glass was founded on 8 September 1907 by Toshiya Iwasaki, the second son of the second president of the original Mitsubishi zaibatsu. It was the first Japanese producer of sheet glass. Asahi Glass Co. is one of the largest flat glass producing companies in the world, owning Glaverbel glass plants across Europe and AFG Industries in North America."
VNU;Media;"Vou is a commune in the Indre-et-Loire department in central France.


== Population ==

The inhabitants are called Vouzéens in French."
Ciba Specialty Chemicals;Chemicals;"Ciba  was a chemical company based in and near Basel, Switzerland. ""Ciba"" stood for ""Chemische Industrie Basel"" (Chemical Industries Basel) and was formed when the non-pharmaceuticals elements of Novartis were spun out in 1997, following the merger in the previous year of Ciba-Geigy and Sandoz that created Novartis.
In 2008, Ciba was acquired by the German chemical company BASF and, in April 2009, integrated into the BASF group. Ciba AG initially continued to trade under the old name, but was renamed to BASF Schweiz AG in March 2010.
The BASF subsidiary makes products in the following areas: Agriculture, Automotive, Construction & Pipes, Electronic materials, Extractive & Process Technologies, Home & Fabric Care, Inks & Graphics, Lubricants, Monomers & Water Soluble Polymers, Packaging, Paints and Coatings, Paper, Personal Care, Photo & Digital Imaging, Plastics & Rubber, Textiles & Fibers, Water treatment.


== History ==
The company first came to life under the name ""Gesellschaft fur Chemische Industrie"", and eventually settled on an acronym of Chemische Industrie Basel sometime after 1920.
Part of the merger agreement of 1997, between Ciba Geigy and Sandoz, was that the former's industrial chemicals business would be spun off as a separate business, leading to the formation of Ciba Specialty Chemicals plc.
In 2004, Ciba bought paper chemical manufacturer Raisio Chemicals from Raisio Group. In 2006, Ciba divested its textile dyes and chemical auxiliaries business in a sale to Huntsman Corporation.
In 2007, the company announced the intention to adopt the name Ciba Inc."
Oji Paper;Materials;"Oji Holdings Corporation (王子ホールディングス株式会社, Ōji Hōrudingusu Kabushiki-gaisha) is a Japanese manufacturer of paper products. In 2012 the company was the third largest company in the global forest, paper and packaging industry.
The company's stock is listed on the Tokyo Stock Exchange and the stock is constituent of the Nikkei 225 stock index. 
In 2012, Oji Paper restructured as a holding company, spinning off the paper division into a separate wholly-owned company under the Oji Paper name.


== Operations ==
Oji Paper produces paper for printing, writing, and packaging. It also manufactures containers made from paper products, chemicals used in the production of paper and paper packaging equipment.
The company has 86 production sites throughout Japan, and forestry operations in Australia, Brazil, Canada, China, Germany, New Zealand and other countries worldwide.


== History ==
Oji Paper Company was founded February 12, 1873 by industrialist Shibusawa Eiichi as Shoshi Kaisha (抄紙会社). Mills were established in 1875 in the village of Ōji, at the time a suburb of Tokyo, and in 1889 in Shizuoka. In 1893 Shibusawa renamed the company Oji Paper after the location of its first mill."
Torchmark;Insurance;"Globe Life Inc. (GL) is an American financial services holding company listed on the New York Stock Exchange which operates through its wholly owned subsidiaries providing life insurance, annuity, and supplemental health insurance products. The company is based in McKinney, Texas.


== History ==
The original core of Globe Life, Liberty National Life Insurance Company was founded in 1900 as the Heralds of Liberty, a fraternal benefit society. The company was headquartered in Birmingham, Alabama, until 2006 when it moved to McKinney, Texas.
In 1980, Liberty National acquired Globe Life And Accident Insurance Company and formed the holding company, Torchmark Corporation.
In 1981, TMK acquired United Investors Life Insurance Company (UIL), United American Insurance Company, and Waddell and Reed Financial.
In 1994, TMK acquired American Income Life Insurance Company.
In 1998, TMK spun off Waddell and Reed Financial, a mutual fund subsidiary.
In 2006, TMK began moving its headquarters from Birmingham, AL to McKinney, TX.
In 2010, TMK sold United Investors Life Insurance Company (UIL) to Protective Life Corporation."
